Simulated_Height_mm,Simulated_Total_Vol_mL,Ideal_Height_mm,Nominal_Total_Vol_mL,Height_Error_mm
6.193,0.0201,6.183,0.02,0.01
7.787,0.0399,7.79,0.04,-0.004
8.923,0.0601,8.918,0.06,0.005
9.84,0.0806,9.815,0.08,0.025
10.588,0.1004,10.573,0.1,0.015
11.243,0.1202,11.236,0.12,0.007
11.849,0.1408,11.828,0.14,0.021
12.391,0.161,12.366,0.16,0.025
12.878,0.1807,12.862,0.18,0.016
13.339,0.2008,13.321,0.2,0.018
13.762,0.2205,13.751,0.22,0.011
14.16,0.2402,14.156,0.24,0.004
14.543,0.2602,14.539,0.26,0.004
14.891,0.2794,14.902,0.28,-0.012
15.225,0.2986,15.249,0.3,-0.024
15.552,0.3182,15.581,0.32,-0.029
15.863,0.3377,15.899,0.34,-0.035
16.171,0.3578,16.204,0.36,-0.034
16.46,0.3773,16.499,0.38,-0.039
16.736,0.3966,16.784,0.4,-0.047
17.02,0.4171,17.059,0.42,-0.039
17.285,0.4369,17.325,0.44,-0.04
17.544,0.4569,17.584,0.46,-0.04
17.788,0.4762,17.835,0.48,-0.047
18.03,0.4959,18.08,0.5,-0.05
18.268,0.5158,18.318,0.52,-0.049
18.495,0.5352,18.551,0.54,-0.055
18.729,0.5553,18.783,0.56,-0.055
18.958,0.575,19.016,0.58,-0.059
19.188,0.5947,19.249,0.6,-0.061
19.417,0.6144,19.482,0.62,-0.065
19.657,0.635,19.714,0.64,-0.058
19.888,0.6549,19.947,0.66,-0.059
20.115,0.6744,20.18,0.68,-0.065
20.35,0.6946,20.413,0.7,-0.062
20.576,0.7141,20.645,0.72,-0.069
20.809,0.734,20.878,0.74,-0.069
21.031,0.7532,21.111,0.76,-0.08
21.257,0.7725,21.344,0.78,-0.087
21.489,0.7925,21.576,0.8,-0.087
21.724,0.8127,21.809,0.82,-0.085
21.957,0.8327,22.042,0.84,-0.085
22.188,0.8525,22.275,0.86,-0.087
22.418,0.8723,22.507,0.88,-0.09
22.642,0.8916,22.74,0.9,-0.098
22.871,0.9112,22.973,0.92,-0.102
23.1,0.9309,23.206,0.94,-0.105
23.337,0.9513,23.438,0.96,-0.102
23.57,0.9713,23.671,0.98,-0.101
23.793,0.9905,23.904,1.0,-0.111
24.026,1.0105,24.137,1.02,-0.11
24.256,1.0303,24.369,1.04,-0.113
24.484,1.0499,24.602,1.06,-0.118
24.719,1.07,24.835,1.08,-0.116
24.955,1.0904,25.068,1.1,-0.112
25.191,1.1106,25.3,1.12,-0.109
25.419,1.1302,25.533,1.14,-0.114
25.649,1.15,25.766,1.16,-0.117
25.882,1.17,25.999,1.18,-0.116
26.118,1.1903,26.231,1.2,-0.113
26.348,1.21,26.464,1.22,-0.116
26.578,1.2298,26.697,1.24,-0.118
26.805,1.2493,26.929,1.26,-0.125
27.031,1.2687,27.162,1.28,-0.131
27.266,1.2889,27.395,1.3,-0.129
27.504,1.3094,27.628,1.32,-0.124
27.735,1.3292,27.86,1.34,-0.125
27.971,1.3495,28.093,1.36,-0.122
28.205,1.3696,28.326,1.38,-0.121
28.433,1.3892,28.559,1.4,-0.125
28.667,1.4093,28.791,1.42,-0.125
28.905,1.4298,29.024,1.44,-0.119
29.137,1.4497,29.257,1.46,-0.12
29.376,1.4702,29.49,1.48,-0.114
29.595,1.4891,29.722,1.5,-0.127
